Code,CommonName,Class,Order,Family,Genus,Species,Subspecies,Species2,Extant,Native,Marine,Yellow,Blue,Red,CDCode,ABCode,Ktunaxa
SB11,Lake Sticklebacks,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA
SB2,Balkwill Lake Limnetic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
SB4,Emily Lake Benthic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
SB5,Emily Lake Limnetic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
SBB,Priest Lake Benthic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
SBP,Priest Lake Limnetic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
SB8,Giant Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp. 1,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-GASP-01,NA,NA
SB10,Hadley Lake Limnetic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp. 12,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,F-GASP-12,NA,NA
SB9,Hadley Lake Benthic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp. 13,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,F-GASP-13,NA,NA
SB14,Misty Lake Lake Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp. 18,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-GASP-18,NA,NA
SB15,Misty Lake Stream Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp. 19,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-GASP-19,NA,NA
SB7,Enos Lake Limnetic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp. 2,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-GASP-02,NA,NA
