Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Classification Level,Name Category,Species Code,Element Code,Class (English),Kingdom,Phylum,Class,Order,Family,Ecosystem Group,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,BC List,Provincial FRPA,Prov Wildlife Act,COSEWIC,COSEWIC Comments,SARA,SARA Comments,General Status Canada,Migratory Bird Convention Act,GOERT,CITES,Land Use Objectives,Origin,Presence,Breeding Bird,Endemic,CDC Maps,Mapping Comment,BGC,ENV Regional Boundaries,Ecosections,Regional Districts,Municipalities,"Habitats
(Type / Subtype / Dependence)"
Cottus rhotheus,NA,Torrent Sculpin,NA,Species,Vertebrate Animal,F-CORH,AFC4E02220,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,G5,Feb-16,S4S5,May-19,May-19,Yellow,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Cottus ricei,NA,Spoonhead Sculpin,NA,Species,Vertebrate Animal,F-CORI,AFC4E02230,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,G5,Aug-15,S4,May-19,Jan-03,Yellow,NA,NA,NAR (May 1989),NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Cottus sp. 9,NA,Rocky Mountain Sculpin,NA,Species,Vertebrate Animal,F-COSP-09,AFC4E02380,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,GNRT3T4Q,Oct-21,S2,May-19,May-19,Red,NA,NA,SC (Nov 2019),NA,1-SC (May 2017),NA,4 - Secure(2000),NA,NA,NA,NA,Native,Regularly occurring,NA,N,Y,NA,NA,3- Thompson; 4- Kootenay; 7- Omineca; 8- Okanagan,Big Bend Trench; Cariboo Mountains; Central Columbia Mountains; Crown of the Continent; Central Park Ranges; East Kootenay Trench; Elk Valley; Eastern Purcell Mountains; Flathead Valley; McGillivray Range; Northern Kootenay Mountains; Northern Shuswap Highland; Southern Columbia Mountains; Selkirk Foothills; Southern Park Ranges; Southern Purcell Mountains; Shuswap River Highland; Upper Columbia Valley,Columbia Shuswap Regional District; Regional District of Central Kootenay; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of North Okanagan; Thompson-Nicola Regional District,Slocan; Silverton; Kaslo; New Denver; Nakusp; Golden; Revelstoke; Canal Flats; Cranbrook; Elkford; Fernie; Invermere; ; Kimberley; Radium Hot Springs; Sparwood,NA
Couesius plumbeus,NA,Lake Chub,NA,Species,Vertebrate Animal,F-COPL,AFCJB06010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,G5,Aug-15,S5,May-19,Jan-92,Yellow,NA,NA,DD,Northern British Columbia Hotsprings population only.,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,BG; BWBS; CDF; CWH; ESSF; ICH; IDF; MH; MS; PP; SBPS; SBS; SWB,NA,NA,NA,NA,NA
Couesius plumbeus pop. 2,Couesius plumbeus pop. 1,Lake Chub - Liard Hot Springs Populations,Lake Chub - Hotsprings Ecotype,Population,Vertebrate Animal,F-COPL-02,AFCJB06012,ray-finned fishes,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,G5TNRQ,NA,S1S2,May-19,May-19,Red,NA,NA,T (Dec 2018),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,BWBS,6- Skeena; 7- Omineca; 9- Peace,Cassiar Ranges; Clear Hills; Eastern Muskwa Ranges; Eastern Skeena Mountains; Etsho Plateau; Fort Nelson Lowland; Finlay River Trench; Halfway Plateau; Hyland Plateau; Kechika Mountains; Kechika River Trench; Liard Plain; Maxhamish Upland; Misinchinka Ranges; Muskwa Foothills; Muskwa Upland; Northern Omineca Mountains; Northern Skeena Mountains; Peace Foothills; Peace Lowland; Petitot Plain; Rabbit Plateau; Southern Boreal Plateau; Sikanni Chief Upland; Simpson Upland; Stikine Highland; Stikine Plateau; Trout Lake Plain; Tuya Range; Western Muskwa Ranges,Peace River Regional District; Regional District of Kitimat-Stikine; Stikine Region (Unincorporated),NRRM,NA
Couesius plumbeus pop. 3,Couesius plumbeus pop. 1,Lake Chub - Atlin Warm Springs Populations,Lake Chub - Hotsprings Ecotype,Population,Vertebrate Animal,F-COPL-03,AFCJB06013,ray-finned fishes,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,G5TNRQ,NA,S1,May-19,May-19,Red,NA,NA,T (Dec 2018),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,BWBS; SWB,6- Skeena; 7- Omineca; 9- Peace,Alsek Ranges; Cassiar Ranges; Central Boundary Ranges; Eastern Muskwa Ranges; Eastern Skeena Mountains; Finlay River Trench; Hyland Plateau; Kechika Mountains; Kluane Ranges; Kechika River Trench; Liard Plain; Manson Plateau; Meziadin Mountains; Nass Basin; Northern Boundary Ranges; Northern Omineca Mountains; Northern Skeena Mountains; Rabbit Plateau; Southern Boreal Plateau; Southern Boundary Ranges; Simpson Upland; Southern Omineca Mountains; Southern Skeena Mountains; Stikine Highland; Stikine Plateau; Tatshenshini Basin; Tagish Highland; Teslin Basin; Teslin Plateau; Tahltan Highland; Tuya Range; Whitehorse Upland,Peace River Regional District; Regional District of Bulkley-Nechako; Regional District of Kitimat-Stikine; Stikine Region (Unincorporated),NRRM,NA
Cryptacanthodes aleutensis,NA,Dwarf Wrymouth,NA,Species,Vertebrate Animal,F-CRAL,AFCSF01020,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Cryptacanthodidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Cryptacanthodes giganteus,NA,Giant Wrymouth,NA,Species,Vertebrate Animal,F-CRGI,AFCSF01030,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Cryptacanthodidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Culaea inconstans,NA,Brook Stickleback,NA,Species,Vertebrate Animal,F-CUIN,AFCPA02010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,G5,Aug-15,S5,Mar-18,Nov-00,Yellow,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Cyclothone atraria,NA,Yellow Bristlemouth,NA,Species,Vertebrate Animal,F-CYAT,AFC7A01020,ray-finned fishes,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Cyclothone pallida,NA,Tan Bristlemouth,NA,Species,Vertebrate Animal,F-CYPA,AFC7A01030,ray-finned fishes,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Cyclothone pseudopallida,NA,Slender Bristlemouth,NA,Species,Vertebrate Animal,F-CYPS,AFC7A01040,ray-finned fishes,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Cyclothone signata,NA,Showy Bristlemouth,NA,Species,Vertebrate Animal,F-CYSI,AFC7A01050,ray-finned fishes,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Cymatogaster aggregata,NA,Shiner Perch,NA,Species,Vertebrate Animal,F-CYAG,AFCQK01010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Cyprinus carpio,NA,Common Carp,NA,Species,Vertebrate Animal,F-CYCA,AFCJB08010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,G5,Sep-96,SNA,May-19,Jan-03,Exotic,NA,NA,NA,NA,NA,NA,7 - Exotic(2005),NA,NA,NA,NA,Exotic,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Danaphos oculatus,NA,Bottlelight,NA,Species,Vertebrate Animal,F-DAOC,AFC7D03010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Stomiiformes,Sternoptychidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Dasycottus setiger,NA,Spinyhead Sculpin,NA,Species,Vertebrate Animal,F-DASE,AFC4E28010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Psychrolutidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Derepodichthys alepidotus,NA,Cuskpout,NA,Species,Vertebrate Animal,F-DEAL,AFCS812010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Diaphus theta,NA,California Headlightfish,NA,Species,Vertebrate Animal,F-DITH,AFCVH02010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Myctophiformes,Myctophidae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Elassodiscus caudatus,NA,Humpback Snailfish,NA,Species,Vertebrate Animal,F-ELCA,AFC4G10070,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Embassichthys bathybius,NA,Deepsea Sole,NA,Species,Vertebrate Animal,F-EMBA,AFCTB03010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Embiotoca lateralis,NA,Striped Seaperch,NA,Species,Vertebrate Animal,F-EMLA,AFCQK05020,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Engraulis mordax,NA,Northern Anchovy,NA,Species,Vertebrate Animal,F-ENMO,AFCFB04020,ray-finned fishes,Animalia,Craniata,Actinopterygii,Clupeiformes,Engraulidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Enophrys bison,NA,Buffalo Sculpin,NA,Species,Vertebrate Animal,F-ENBI,AFC4E29010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Enophrys lucasi,NA,Leister Sculpin,NA,Species,Vertebrate Animal,F-ENLU,AFC4E29030,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Entosphenus macrostomus,Lampetra macrostoma,Cowichan Lake Lamprey,Lake Lamprey; Vancouver Island Lake Lamprey; Vancouver Lamprey,Species,Vertebrate Animal,F-ENMA,AFBAA02120,Lampreys,Animalia,Craniata,Petromyzontida,Petromyzontiformes,Petromyzontidae,NA,G2,Oct-19,S2,May-19,May-19,Red,NA,NA,T (Dec 2017),NA,1-T (Jun 2003),NA,1 - At Risk(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,CWH,1- Vancouver Island; 2- Lower Mainland; 3- Thompson; 5- Cariboo; 6- Skeena,Bulkley Basin; Bulkley Ranges; Central Chilcotin Ranges; Chilcotin Plateau; Continental Slope; Central Pacific Ranges; Dixon Entrance; Eastern Pacific Ranges; Fraser River Basin; Fraser Lowland; Georgia Lowland; Hecate Lowland; Hecate Strait; Juan de Fuca Strait; Johnstone Strait; Kimsquit Mountains; Kitimat Ranges; Leeward Island Mountains; Meziadin Mountains; Nanaimo Lowland; Nass Mountains; Nazko Upland; North Coast Fjords; Nechako Upland; Northern Island Mountains; Northern Pacific Ranges; Nahwitti Lowland; Outer Fjordland; Pavilion Ranges; Queen Charlotte Ranges; Queen Charlotte Sound; Queen Charlotte Strait; Southern Boundary Ranges; Southern Chilcotin Ranges; Southern Gulf Islands; Strait of Georgia; Southern Pacific Ranges; Vancouver Island Shelf; Western Chilcotin Ranges; Western Chilcotin Upland; Windward Island Mountains,Capital Regional District; Central Coast Regional District; Comox Valley Regional District; Cariboo Regional District; Cowichan Valley Regional District; Metro Vancouver Regional District; North Coast Regional District; Regional District of Alberni-Clayoquot; Regional District of Bulkley-Nechako; Regional District of Kitimat-Stikine; Regional District of Mount Waddington; Regional District of Nanaimo; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Thompson-Nicola Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Delta; North Vancouver - City; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; North Vancouver - District; Squamish; Port Alberni; Tofino; Ucluelet; Central Saanich; Colwood; Esquimalt; Highlands; Langford; Metchosin; North Saanich; Oak Bay; Saanich; Sidney; Sooke; Victoria; View Royal; Cumberland; Comox; Courtenay; Duncan; Ladysmith; Lake Cowichan; North Cowichan; Alert Bay; Port Alice; Port Hardy; Port McNeill; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Gold River; Sayward; Tahsis; Zeballos; Kitimat; Stewart; Port Edward; Prince Rupert,NA
Entosphenus tridentatus,Lampetra tridentata,Pacific Lamprey,NA,Species,Vertebrate Animal,F-ENTR,AFBAA02100,Lampreys,Animalia,Craniata,Petromyzontida,Petromyzontiformes,Petromyzontidae,NA,G4,Feb-12,S5,May-19,May-10,Yellow,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Eopsetta jordani,NA,Petrale Sole,NA,Species,Vertebrate Animal,F-EOJO,AFCTB04010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Eptatretus deani,NA,Black Hagfish,NA,Species,Vertebrate Animal,F-EPDE,AFABA01010,hagfishes,Animalia,Craniata,Myxini,Myxiniformes,Myxinidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Eptatretus stoutii,NA,Pacific Hagfish,NA,Species,Vertebrate Animal,F-EPST,AFABA01020,hagfishes,Animalia,Craniata,Myxini,Myxiniformes,Myxinidae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Erilepis zonifer,NA,Skilfish,NA,Species,Vertebrate Animal,F-ERZO,AFC4C02010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Esox lucius,NA,Northern Pike,NA,Species,Vertebrate Animal,F-ESLU,AFCHD01020,ray-finned fishes,Animalia,Craniata,Actinopterygii,Esociformes,Esocidae,NA,G5,Aug-15,S5,Jan-04,NA,Yellow,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Eumicrotremus orbis,NA,Pacific Spiny Lumpsucker,NA,Species,Vertebrate Animal,F-EUOR,AFC4G13030,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cyclopteridae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Gadus macrocephalus,NA,Pacific Cod,NA,Species,Vertebrate Animal,F-GAMA,AFCMA08010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gadiformes,Gadidae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Galeorhinus galeus,NA,Soupfin Shark,Tope,Species,Vertebrate Animal,F-GAGA,AFDDG02030,cartilaginous fishes,Animalia,Craniata,Chondrichthyes,Carcharhiniformes,Triakidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,SC (May 2021),NA,1-SC (Mar 2009),NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,Ocean / Pelagic / Obligate
Gasterosteus aculeatus,NA,Threespine Stickleback,NA,Species,Vertebrate Animal,F-GAAC,AFCPA03010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,G5,Dec-17,S5,Mar-18,Jan-92,Yellow,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Gasterosteus aculeatus pop. 1,Gasterosteus aculeatus ssp.,Charlotte Unarmoured Threespine Stickleback,Charlotte Unarmoured Stickleback,Population,Vertebrate Animal,F-GAAC-01,AFCPA03014,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,G5T1T2Q,Jul-19,S1S2,Mar-18,Mar-18,Red,NA,NA,E (Dec 2023),NA,1-SC (Aug 2019),NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,CWH,1- Vancouver Island; 5- Cariboo; 6- Skeena,Continental Slope; Dixon Entrance; Hecate Lowland; Hecate Strait; North Coast Fjords; Nahwitti Lowland; Queen Charlotte Lowland; Queen Charlotte Ranges; Queen Charlotte Sound; Queen Charlotte Strait; Sub-Arctic Pacific; Southern Boundary Ranges; Skidegate Plateau; Transitional Pacific; Vancouver Island Shelf,Central Coast Regional District; North Coast Regional District; Regional District of Kitimat-Stikine; Regional District of Mount Waddington,Daajing Giids; Masset; Port Clements,NA
Gasterosteus aculeatus pop. 2,NA,Little Quarry Lake Benthic Threespine Stickleback,NA,Population,Vertebrate Animal,F-GAAC-02,AFCPA03016,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,G5TNRQ,NA,S1,May-19,May-19,Red,NA,NA,T (Dec 2023),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,CWHxm,1- Vancouver Island; 2- Lower Mainland,Central Pacific Ranges; Eastern Pacific Ranges; Fraser Lowland; Georgia Lowland; Hecate Lowland; Juan de Fuca Strait; Johnstone Strait; Leeward Island Mountains; Nanaimo Lowland; Northern Island Mountains; Nahwitti Lowland; Outer Fjordland; Queen Charlotte Strait; Southern Gulf Islands; Strait of Georgia; Southern Pacific Ranges,Capital Regional District; Comox Valley Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Regional District of Mount Waddington; Regional District of Nanaimo; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Maple Ridge; North Vancouver - City; Pitt Meadows; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; North Vancouver - District; Squamish; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Sayward; Harrison Hot Springs; Kent; Mission,NA
Gasterosteus aculeatus pop. 3,NA,Little Quarry Limnetic Threespine Stickleback,NA,Population,Vertebrate Animal,F-GAAC-03,AFCPA03017,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,G5TNRQ,NA,S1,May-19,May-19,Red,NA,NA,T (Dec 2023),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,CWHxm,1- Vancouver Island; 2- Lower Mainland,Central Pacific Ranges; Eastern Pacific Ranges; Fraser Lowland; Georgia Lowland; Hecate Lowland; Juan de Fuca Strait; Johnstone Strait; Leeward Island Mountains; Nanaimo Lowland; Northern Island Mountains; Nahwitti Lowland; Outer Fjordland; Queen Charlotte Strait; Southern Gulf Islands; Strait of Georgia; Southern Pacific Ranges,Capital Regional District; Comox Valley Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Regional District of Mount Waddington; Regional District of Nanaimo; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Maple Ridge; North Vancouver - City; Pitt Meadows; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; North Vancouver - District; Squamish; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Sayward; Harrison Hot Springs; Kent; Mission,NA
Gasterosteus sp. 1,NA,Giant Threespine Stickleback,Giant Black Stickleback,Species,Vertebrate Animal,F-GASP-01,AFCPA03X10,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,G1G2,Jul-19,S1S2,Mar-18,Mar-18,Red,NA,NA,SC (Dec 2023),NA,1-SC (Aug 2019),NA,3 - Sensitive(2000),NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,CWH,1- Vancouver Island; 5- Cariboo; 6- Skeena,Continental Slope; Dixon Entrance; Hecate Lowland; Hecate Strait; North Coast Fjords; Nahwitti Lowland; Queen Charlotte Lowland; Queen Charlotte Ranges; Queen Charlotte Sound; Queen Charlotte Strait; Sub-Arctic Pacific; Southern Boundary Ranges; Skidegate Plateau; Transitional Pacific; Vancouver Island Shelf,Central Coast Regional District; North Coast Regional District; Regional District of Kitimat-Stikine; Regional District of Mount Waddington,Daajing Giids; Masset; Port Clements,NA
Gasterosteus sp. 12,NA,Hadley Lake Limnetic Stickleback,NA,Species,Vertebrate Animal,F-GASP-12,AFCPA03140,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,GX,Nov-18,SX,Mar-18,Nov-94,Extinct,NA,NA,X (May 2000),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,CDF,NA,NA,NA,NA,NA
Gasterosteus sp. 13,NA,Hadley Lake Benthic Stickleback,NA,Species,Vertebrate Animal,F-GASP-13,AFCPA03150,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,GX,Nov-18,SX,Mar-18,Nov-94,Extinct,NA,NA,X (May 2000),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,CDF,NA,NA,NA,NA,NA
Gasterosteus sp. 16,NA,Vananda Creek Limnetic Stickleback,NA,Species,Vertebrate Animal,F-GASP-16,AFCPA03180,ray-finned fishes,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,G1,Nov-18,S1,Mar-18,Mar-00,Red,Y (May 2004),NA,E (Dec 2023),NA,1-E (Jun 2003),NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,CDF,1- Vancouver Island; 2- Lower Mainland,Fraser Lowland; Georgia Lowland; Juan de Fuca Strait; Johnstone Strait; Nanaimo Lowland; Outer Fjordland; Southern Gulf Islands; Strait of Georgia; Southern Pacific Ranges,Capital Regional District; Comox Valley Regional District; Cowichan Valley Regional District; Metro Vancouver Regional District; Regional District of Nanaimo; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Delta; North Vancouver - City; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; North Vancouver - District; Squamish; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River,Lakes / Lake / Obligate
