Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
Anarrhichthys ocellatus,,Wolf-eel,,F-ANOC,AFCSD02010,G5,09-Feb-17,SNR,,,NAR (May 2003), ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Anarhichadidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Anoplagonus inermis,,Smooth Alligatorfish,,F-ANIN,AFC4F05010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Anoplarchus insignis,,Slender Cockscomb,,F-ANIS,AFCSC05010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Anoplarchus purpurescens,,High Cockscomb,,F-ANPU,AFCSC05020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Anoplogaster cornuta,,Longhorn Fangtooth,,F-ANCO,AFCZD02010,G5,21-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Beryciformes,Anoplogastridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Anoplopoma fimbria,,Sablefish,,F-ANFI,AFC4C01010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Anoplopomatidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Anotopterus nikparini,,North Pacific Daggertooth,,F-ANNI,AFC8F01020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Paralepididae, , , , , ,,Native,Regularly occurring,, ,N,N,
Antimora microlepis,,Pacific Flatnose,,F-ANMI,AFCMH01020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Moridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Aphanopus carbo,,Black Scabbardfish,,F-APCA,AFCS211010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Trichiuridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Apodichthys flavidus,,Penpoint Gunnel,,F-APFL,AFCQR03020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Pholidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Apodichthys fucorum,,Rockweed Gunnel,,F-APFU,AFCQR03010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Pholidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Apristurus brunneus,,Brown Cat Shark,,F-APBR,AFDDF01010,GNR,,SNR,,,DD (Apr 2007), ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Aptocyclus ventricosus,,Smooth Lumpsucker,,F-APVE,AFC4G08010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cyclopteridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Arctozenus risso,,White Barracudina,,F-ARRI,AFC8D02010,G5,26-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Paralepididae, , , , , ,,Native,Regularly occurring,, ,N,N,
Argyropelecus sladeni,,Lowcrest Hatchetfish,,F-ARSL,AFC7C01020,G5,23-Mar-09,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Sternoptychidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Aristostomias scintillans,,Shining Loosejaw,,F-ARSC,AFC7B04010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Stomiidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Artedius fenestralis,,Padded Sculpin,,F-ARFE,AFC4E23020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Artedius harringtoni,,Scalyhead Sculpin,,F-ARHA,AFC4E23030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Artedius lateralis,,Smoothhead Sculpin,,F-ARLA,AFC4E23040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Ascelichthys rhodorus,,Rosylip Sculpin,,F-ASRH,AFC4E24010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Asemichthys taylori,Radulinus taylori,Spinynose Sculpin,,F-ASTA,AFC4E25010,GNR,,SNR,,,DD (May 1997), ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Atheresthes stomias,,Arrowtooth,,F-ATST,AFCTB19020,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Atherinops affinis,,Topsmelt,,F-ATAF,AFCND04010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Atheriniformes,Atherinopsidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Atractoscion nobilis,,White Seabass,,F-ATNO,AFCQH10010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Sciaenidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Aulorhynchus flavidus,,Tube-snout,,F-AUFL,AFCPA05010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Aulorhynchidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Avocettina infans,,Closespine Snipe Eel,,F-AVIN,AFCEJ02010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Anguilliformes,Nemichthyidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Balistes polylepis,,Finescale Triggerfish,,F-BAPO,AFC3B03020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Tetraodontiformes,Balistidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Barbourisia rufa,,Velvet Whalefish,,F-BARU,AFC9B02010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stephanoberyciformes,Barbourisiidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathophilus flemingi,,Highfin Dragonfish,,F-BAFL,AFC7B05010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Stomiidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyagonus alascanus,,Gray Starsnout,,F-BAAL,AFC4F06010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyagonus infraspinatus,,Spinycheek Starsnout,,F-BAIN,AFC4F06020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyagonus nigripinnis,,Blackfin Poacher,,F-BANI,AFC4F06030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyagonus pentacanthus,,Bigeye Poacher,,F-BAPE,AFC4F06040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathylagus pacificus,,Slender Blacksmelt,,F-BAPA,AFCHF02020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Microstomatidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathylychnops exilis,,Javelin Spookfish,,F-BAEX,AFCHG02010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Opisthoproctidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathymaster caeruleofasciatus,,Alaskan Ronquil,,F-BACA,AFCRY01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Bathymasteridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathymaster signatus,,Searcher,,F-BASI,AFCRY01020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Bathymasteridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyraja abyssicola,,Abyssal Skate,,F-BAAB,AFDFD02080,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyraja aleutica,,Aleutian Skate,,F-BAAE,AFDFD02010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyraja interrupta,,Sandpaper Skate,,F-BAIT,AFDFD02030,G5,19-Apr-17,SNR,,,NAR (Apr 2007), ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyraja minispinosa,,Whitebrow Skate,,F-BAMI,AFDFD02140,G5,19-Feb-08,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyraja parmifera,,Alaska Skate,,F-BAPR,AFDFD02040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bathyraja trachura,,Roughtail Skate,,F-BATR,AFDFD02060,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Benthalbella dentata,,Northern Pearleye,,F-BEDE,AFC8G01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Scopelarchidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Benthalbella linguidens,,Longfin Pearleye,,F-BELI,AFC8G01020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Scopelarchidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Benthodesmus pacificus,,Frostfish,,F-BEPA,AFCS202020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Trichiuridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Benthodesmus tenuis,,Javelinfish,,F-BETE,AFCS202040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Trichiuridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Blepsias bilobus,,Crested Sculpin,,F-BLBI,AFC4E26010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hemitripteridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Blepsias cirrhosus,,Silverspotted Sculpin,,F-BLCI,AFC4E26020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hemitripteridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bothragonus swanii,,Rockhead,,F-BOSW,AFC4F07010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bothrocara brunneum,,Twoline Eelpout,,F-BOBR,AFCS802020,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae, , , , , ,,Native,Regularly occurring,, ,N,N,
