Species Code,Element Code
F-SEBR,AFC4A06080
F-SECA,AFC4A06100
F-SECH,AFC4A06110
F-SECI,AFC4A06130
F-SECR,AFC4A06150
F-SEDI,AFC4A06170
F-SEEL,AFC4A06180
F-SEEM,AFC4A06190
F-SEEN,AFC4A06210
F-SEFL,AFC4A06240
F-SEGO,AFC4A06260
F-SEHE,AFC4A06270
F-SEJO,AFC4A06290
F-SEMA,AFC4A06330
F-SEME,AFC4A06350
F-SEML,AFC4A06370
F-SEMI,AFC4A06390
F-SEMY,AFC4A06400
F-SENE,AFC4A06410
F-SENI,AFC4A06420
F-SEPA,AFC4A06440
F-SEPI,AFC4A06460
F-SEPL,AFC4A06470
F-SEPR,AFC4A06480
F-SERE,AFC4A06500
F-SERU,AFC4A06530
F-SERF,AFC4A06560
F-SESA,AFC4A06570
F-SEVR,AFC4A06700
F-SEVA,AFC4A06630
F-SEWI,AFC4A06640
F-SEZA,AFC4A06650
F-SEAS,AFC4A07010
F-SEAI,AFC4A07020
F-SELA,AFCQZ11040
F-SEPO,AFCQH16010
F-SEJE,AFCEK01010
F-SOPA,AFDEA06020
F-SPGR,AFCMD08010
F-SPAR,AFCQV01010
F-SPSP-01,AFCHB03030
F-SPST,AFCHB03020
F-SPTH,AFCHB03010
F-SQSU,AFDEA07040
F-STXY,AFC4F15010
F-STLE,AFCVH07010
F-STNA,AFCVH07020
F-STLU,AFCHA06010
F-STPS,AFC7C02010
F-STPU,AFCSC17010
F-SYCA,AFCVH14010
F-SYAT,AFCTC04020
F-SYGI,AFC4E15010
F-SYLE,AFCPB010D0
F-SYLU,AFC8B02030
F-TAMA,AFC7B02010
F-TABI,AFCHH01010
F-TAAS,AFCRH03010
F-TALY,AFCMG06010
F-TACR,AFCVH08010
F-TATA,AFCVH08020
F-TECU,AFCS409020
F-THCO,AFCEC04010
F-THPA,AFCHB04010
F-THCH,AFCMA14010
F-THAL,AFCS308010
F-THOR,AFCS308060
F-THAR,AFCHA07010
F-THAR-03,AFCHA07013
F-THAR-04,AFCHA07014
F-TITI,AFCJB43010
F-TOCA,AFDFB02010
F-TRAL,AFC2C02010
F-TRSY,AFCQZ13020
F-TRTR,AFCRW02010
F-TRMA,AFC4E16020
F-TRPI,AFC4E16050
F-XELA,AFC4F16010
F-XELE,AFC4F16020
F-XETR,AFC4F16040
F-XEAT,AFCEG09020
F-XIGL,AFCSM01010
F-XIAT,AFCSC19010
F-XIMU,AFCSC19020
F-ZALA,AFC4D05020
F-ZASI,AFCSH01010
